Namespace(batch_size=128, depth=[784, 400, 400], drop_rate=0.2, epochs=100, gammas=[0.1, 0.1], log_file='mlp_mnist_lr0.1_wd1e-4.log', lr=0.1, model='mlp_mnist', momentum=0.9, save_path='./save/mlp_mnist/mlp_mnist_lr0.1_wd1e-4/', schedule=[60, 80], use_cuda=True, weight_decay=0.0001)
==> Building model..

MLP(
  (mlp): Sequential(
    (0): Linear(in_features=784, out_features=400, bias=True)
    (1): ReLU(inplace=True)
    (2): Dropout(p=0.2, inplace=False)
    (3): Linear(in_features=400, out_features=400, bias=True)
    (4): ReLU(inplace=True)
    (5): Dropout(p=0.2, inplace=False)
  )
  (classifier): Linear(in_features=400, out_features=10, bias=True)
)
----  --------  ---------  --------  ---------  --------  ----------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    best_acc
----  --------  ---------  --------  ---------  --------  ----------
   1    0.1000     0.2909   91.1767     0.1263   96.0900     96.0900
   2    0.1000     0.1391   95.8600     0.1130   96.5900     96.5900
   3    0.1000     0.1142   96.5783     0.0927   97.1800     97.1800
   4    0.1000     0.0945   97.1567     0.0832   97.5900     97.5900
   5    0.1000     0.0827   97.4717     0.0823   97.5000     97.5900
   6    0.1000     0.0743   97.7750     0.0943   97.1500     97.5900
   7    0.1000     0.0688   97.8317     0.0763   97.8300     97.8300
   8    0.1000     0.0665   97.9767     0.0991   97.4400     97.8300
   9    0.1000     0.0658   98.0417     0.0784   97.7300     97.8300
  10    0.1000     0.0518   98.3800     0.0883   97.7600     97.8300
  11    0.1000     0.0534   98.3300     0.1001   97.5700     97.8300
  12    0.1000     0.0532   98.3617     0.0796   97.9900     97.9900
  13    0.1000     0.0501   98.4900     0.0770   98.0900     98.0900
  14    0.1000     0.0476   98.5283     0.0780   97.9800     98.0900
  15    0.1000     0.0462   98.6217     0.0874   97.7600     98.0900
  16    0.1000     0.0423   98.6983     0.0711   98.1500     98.1500
  17    0.1000     0.0434   98.7117     0.0628   98.3100     98.3100
  18    0.1000     0.0399   98.7450     0.0897   97.6400     98.3100
  19    0.1000     0.0420   98.6983     0.0774   98.1900     98.3100
  20    0.1000     0.0460   98.5933     0.0914   97.5500     98.3100
  21    0.1000     0.0425   98.6383     0.0767   98.1200     98.3100
  22    0.1000     0.0431   98.7100     0.0808   97.9600     98.3100
  23    0.1000     0.0380   98.8533     0.0804   98.0600     98.3100
  24    0.1000     0.0366   98.8267     0.0862   97.8600     98.3100
  25    0.1000     0.0354   98.9033     0.0810   97.7700     98.3100
  26    0.1000     0.0365   98.8567     0.1002   97.6800     98.3100
  27    0.1000     0.0375   98.8050     0.0862   97.9100     98.3100
  28    0.1000     0.0349   98.9117     0.0771   98.0100     98.3100
  29    0.1000     0.0343   98.9183     0.0785   98.0600     98.3100
  30    0.1000     0.0352   98.9583     0.0926   97.9500     98.3100
  31    0.1000     0.0349   98.8533     0.0770   98.1800     98.3100
  32    0.1000     0.0349   98.9117     0.0812   98.0100     98.3100
  33    0.1000     0.0336   98.8900     0.0797   98.0600     98.3100
  34    0.1000     0.0358   98.8500     0.0861   97.9200     98.3100
  35    0.1000     0.0371   98.8617     0.0664   98.2200     98.3100
  36    0.1000     0.0333   98.9800     0.0684   98.3700     98.3700
  37    0.1000     0.0334   98.9067     0.0792   98.0300     98.3700
  38    0.1000     0.0369   98.8083     0.0843   97.9100     98.3700
  39    0.1000     0.0310   99.0250     0.0691   98.3200     98.3700
  40    0.1000     0.0327   98.9800     0.0819   97.9500     98.3700
  41    0.1000     0.0351   98.8967     0.0714   98.2300     98.3700
  42    0.1000     0.0322   98.9733     0.0763   98.0200     98.3700
  43    0.1000     0.0339   98.9683     0.0794   97.7900     98.3700
  44    0.1000     0.0366   98.8433     0.0707   98.2500     98.3700
  45    0.1000     0.0340   98.9667     0.0731   98.1800     98.3700
  46    0.1000     0.0296   99.0417     0.0648   98.5400     98.5400
  47    0.1000     0.0285   99.0817     0.0702   98.3300     98.5400
  48    0.1000     0.0291   99.0933     0.0796   98.0100     98.5400
  49    0.1000     0.0334   98.9683     0.0789   98.1100     98.5400
  50    0.1000     0.0322   98.9850     0.0843   98.0000     98.5400
  51    0.1000     0.0361   98.8500     0.0704   98.1600     98.5400
  52    0.1000     0.0295   99.0633     0.0948   97.7600     98.5400
  53    0.1000     0.0372   98.7633     0.0816   98.1400     98.5400
  54    0.1000     0.0354   98.8700     0.0781   97.8800     98.5400
  55    0.1000     0.0318   98.9933     0.0803   98.0800     98.5400
  56    0.1000     0.0318   99.0417     0.0848   98.0000     98.5400
  57    0.1000     0.0324   98.9950     0.0791   98.1200     98.5400
  58    0.1000     0.0282   99.1500     0.0758   98.1900     98.5400
  59    0.1000     0.0293   99.1117     0.0819   98.1600     98.5400
