Namespace(batch_size=128, depth=[784, 400, 400], drop_rate=0.2, epochs=100, evaluate=False, gammas=[1.0, 1.0], log_file='mlp_mnist_lr0.1_wd1e-4.log', lr=0.1, model='mlp_mnist', momentum=0.9, resume='', save_path='./save/mlp_mnist/mlp_mnist_lr0.1_wd1e-4_LRstepFalse/', schedule=[60, 80], use_cuda=True, weight_decay=0.0001)
==> Building model..

MLP(
  (mlp): Sequential(
    (0): Linear(in_features=784, out_features=400, bias=True)
    (1): ReLU(inplace=True)
    (2): Dropout(p=0.2, inplace=False)
    (3): Linear(in_features=400, out_features=400, bias=True)
    (4): ReLU(inplace=True)
    (5): Dropout(p=0.2, inplace=False)
  )
  (classifier): Linear(in_features=400, out_features=10, bias=True)
)
----  --------  ---------  --------  ---------  --------  ----------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    best_acc
----  --------  ---------  --------  ---------  --------  ----------
   1    0.1000     0.2832   91.3567     0.1234   96.2500     96.2500
   2    0.1000     0.1376   95.9183     0.1006   97.0600     97.0600
   3    0.1000     0.1080   96.8067     0.1049   97.0100     97.0600
   4    0.1000     0.0939   97.1833     0.1043   97.0900     97.0900
   5    0.1000     0.0828   97.4667     0.0971   97.4000     97.4000
   6    0.1000     0.0754   97.6250     0.0947   97.2400     97.4000
   7    0.1000     0.0654   98.0100     0.0869   97.4700     97.4700
   8    0.1000     0.0662   98.0033     0.0871   97.5100     97.5100
   9    0.1000     0.0579   98.1500     0.0758   97.9500     97.9500
  10    0.1000     0.0575   98.1833     0.1004   97.4000     97.9500
  11    0.1000     0.0561   98.2300     0.0863   97.6100     97.9500
  12    0.1000     0.0475   98.5517     0.0702   98.0800     98.0800
  13    0.1000     0.0506   98.4900     0.0931   97.4900     98.0800
  14    0.1000     0.0477   98.5067     0.0838   97.7900     98.0800
  15    0.1000     0.0492   98.4683     0.0842   97.7500     98.0800
  16    0.1000     0.0469   98.5783     0.0754   97.8500     98.0800
  17    0.1000     0.0397   98.7317     0.0750   98.1400     98.1400
  18    0.1000     0.0390   98.7683     0.0753   98.0900     98.1400
  19    0.1000     0.0416   98.7067     0.0937   97.7600     98.1400
  20    0.1000     0.0405   98.7350     0.0858   97.7000     98.1400
  21    0.1000     0.0366   98.8600     0.0723   98.2600     98.2600
  22    0.1000     0.0388   98.7733     0.0787   98.0500     98.2600
  23    0.1000     0.0373   98.8433     0.0760   98.1500     98.2600
  24    0.1000     0.0375   98.8317     0.0787   98.0100     98.2600
  25    0.1000     0.0385   98.7767     0.0816   97.9800     98.2600
  26    0.1000     0.0356   98.8950     0.0866   98.0300     98.2600
  27    0.1000     0.0357   98.9050     0.0915   97.8800     98.2600
  28    0.1000     0.0378   98.8133     0.0871   97.9700     98.2600
  29    0.1000     0.0365   98.9033     0.0806   97.9100     98.2600
  30    0.1000     0.0370   98.8667     0.0812   98.0200     98.2600
  31    0.1000     0.0363   98.8683     0.0780   98.0600     98.2600
  32    0.1000     0.0325   99.0300     0.0864   97.9500     98.2600
  33    0.1000     0.0274   99.1433     0.0812   98.1300     98.2600
  34    0.1000     0.0306   99.0717     0.0749   98.1300     98.2600
  35    0.1000     0.0365   98.8950     0.0798   98.1000     98.2600
  36    0.1000     0.0344   98.9667     0.0636   98.2500     98.2600
  37    0.1000     0.0322   98.9633     0.0749   98.2400     98.2600
  38    0.1000     0.0320   99.0133     0.0723   98.2000     98.2600
  39    0.1000     0.0305   99.0100     0.0740   98.0800     98.2600
  40    0.1000     0.0339   98.9417     0.0776   98.0400     98.2600
  41    0.1000     0.0316   98.9617     0.0888   97.7500     98.2600
  42    0.1000     0.0318   98.9800     0.0767   98.0400     98.2600
  43    0.1000     0.0322   98.9917     0.0766   98.1300     98.2600
  44    0.1000     0.0305   99.0367     0.0659   98.2100     98.2600
  45    0.1000     0.0307   99.0167     0.0724   98.0700     98.2600
  46    0.1000     0.0306   99.0233     0.0911   97.6600     98.2600
  47    0.1000     0.0338   98.9533     0.0760   98.0500     98.2600
  48    0.1000     0.0282   99.0583     0.0711   98.2900     98.2900
  49    0.1000     0.0304   99.0550     0.0830   98.1000     98.2900
  50    0.1000     0.0264   99.1733     0.0689   98.2800     98.2900
  51    0.1000     0.0246   99.2133     0.0792   98.0400     98.2900
  52    0.1000     0.0311   99.0400     0.0819   97.9000     98.2900
  53    0.1000     0.0383   98.8067     0.0701   98.2600     98.2900
  54    0.1000     0.0262   99.1733     0.0660   98.3800     98.3800
  55    0.1000     0.0270   99.1317     0.0621   98.4000     98.4000
  56    0.1000     0.0277   99.0967     0.0665   98.2400     98.4000
  57    0.1000     0.0332   98.9500     0.0864   97.9300     98.4000
  58    0.1000     0.0348   98.8900     0.0687   98.1200     98.4000
