Namespace(batch_size=128, depth=[784, 400, 400], drop_rate=0.2, epochs=100, evaluate=False, gammas=[0.1, 0.1], log_file='mlp_mnist_lr0.1_wd1e-4.log', lr=0.1, model='mlp_mnist', momentum=0.9, resume='', save_path='./save/mlp_mnist/mlp_mnist_lr0.1_wd1e-4_LRstepTrue/', schedule=[60, 80], use_cuda=True, weight_decay=0.0001)
==> Building model..

MLP(
  (mlp): Sequential(
    (0): Linear(in_features=784, out_features=400, bias=True)
    (1): ReLU(inplace=True)
    (2): Dropout(p=0.2, inplace=False)
    (3): Linear(in_features=400, out_features=400, bias=True)
    (4): ReLU(inplace=True)
    (5): Dropout(p=0.2, inplace=False)
  )
  (classifier): Linear(in_features=400, out_features=10, bias=True)
)
----  --------  ---------  --------  ----------  ---------  ----------
  ep        lr    tr_loss    tr_acc    val_loss    val_acc    best_acc
----  --------  ---------  --------  ----------  ---------  ----------
   1    0.1000     0.3754   88.2700      0.1403    95.8000     95.8000
   2    0.1000     0.1343   95.8480      0.0940    97.1600     97.1600
   3    0.1000     0.0988   96.9600      0.0845    97.4500     97.4500
   4    0.1000     0.0813   97.4120      0.0770    97.7000     97.7000
   5    0.1000     0.0692   97.7680      0.0792    97.7400     97.7400
   6    0.1000     0.0589   98.1260      0.0731    97.9000     97.9000
   7    0.1000     0.0547   98.2280      0.0721    97.8700     97.9000
   8    0.1000     0.0477   98.4300      0.0777    97.8500     97.9000
   9    0.1000     0.0400   98.6800      0.0764    97.8100     97.9000
  10    0.1000     0.0418   98.5680      0.0741    97.9600     97.9600
  11    0.1000     0.0377   98.7640      0.0734    98.0400     98.0400
  12    0.1000     0.0338   98.8200      0.0734    97.9700     98.0400
  13    0.1000     0.0344   98.8680      0.0786    97.9400     98.0400
  14    0.1000     0.0289   98.9940      0.0831    97.8800     98.0400
  15    0.1000     0.0279   99.0660      0.0708    98.1200     98.1200
  16    0.1000     0.0248   99.1880      0.0714    98.1500     98.1500
  17    0.1000     0.0260   99.1000      0.0686    98.2400     98.2400
  18    0.1000     0.0279   99.0860      0.0654    98.2300     98.2400
  19    0.1000     0.0249   99.1240      0.0676    98.2700     98.2700
  20    0.1000     0.0222   99.2820      0.0720    98.2200     98.2700
  21    0.1000     0.0232   99.2100      0.0760    98.1100     98.2700
  22    0.1000     0.0222   99.2440      0.0677    98.1800     98.2700
  23    0.1000     0.0212   99.2660      0.0702    98.3000     98.3000
  24    0.1000     0.0206   99.3020      0.0779    97.9700     98.3000
  25    0.1000     0.0225   99.2840      0.0701    98.1200     98.3000
  26    0.1000     0.0218   99.2860      0.0735    98.1000     98.3000
  27    0.1000     0.0225   99.2220      0.0719    98.1700     98.3000
  28    0.1000     0.0234   99.2300      0.0682    98.1200     98.3000
  29    0.1000     0.0224   99.2300      0.0637    98.3700     98.3700
  30    0.1000     0.0196   99.3760      0.0629    98.2300     98.3700
  31    0.1000     0.0181   99.3900      0.0798    98.0400     98.3700
  32    0.1000     0.0191   99.3560      0.0652    98.2800     98.3700
  33    0.1000     0.0163   99.4980      0.0734    98.1800     98.3700
  34    0.1000     0.0170   99.4000      0.0703    98.2900     98.3700
  35    0.1000     0.0215   99.2520      0.0696    98.2100     98.3700
  36    0.1000     0.0210   99.3220      0.0713    98.0900     98.3700
  37    0.1000     0.0205   99.3260      0.0688    98.2700     98.3700
  38    0.1000     0.0177   99.4480      0.0697    98.2300     98.3700
  39    0.1000     0.0173   99.4340      0.0673    98.2300     98.3700
  40    0.1000     0.0191   99.3880      0.0647    98.3600     98.3700
  41    0.1000     0.0169   99.4520      0.0754    98.1700     98.3700
  42    0.1000     0.0164   99.4660      0.0718    98.3100     98.3700
  43    0.1000     0.0201   99.3260      0.0703    98.2200     98.3700
  44    0.1000     0.0153   99.5200      0.0757    97.9300     98.3700
  45    0.1000     0.0192   99.3380      0.0788    98.0900     98.3700
